run_id	Step	mean_absolute_error
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	0	848.6782140625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	1	506.99614785156257
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	2	543.0213945312499
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	3	514.2946515625001
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	4	471.95351738281244
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	5	441.44153027343754
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	6	424.873685546875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	7	426.37704785156257
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	8	392.688566796875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	9	446.994540625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	10	415.6419265625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	11	478.547884375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	12	604.0359888671876
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	13	629.7799140625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	14	684.2644894531251
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	15	720.8372056640626
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	16	781.4379144531251
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	17	886.391067578125
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	18	982.6042833984375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	19	1100.8281947265625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	20	1187.4388791015626
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	21	1232.2996453125002
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	22	1261.73567109375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	23	1300.151251171875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	24	1315.85711484375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	25	1330.78099609375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	26	1346.8639960937498
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	27	1370.235079296875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	28	1391.190823828125
