run_id	Step	median_absolute_error
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	0	537.383935546875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	1	390.150439453125
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	2	401.33486328125
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	3	368.14775390625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	4	342.891259765625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	5	329.478369140625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	6	314.647314453125
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	7	313.372265625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	8	287.640234375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	9	307.666357421875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	10	289.888818359375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	11	387.077783203125
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	12	514.19794921875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	13	524.185888671875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	14	576.50390625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	15	609.141650390625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	16	663.675390625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	17	768.9701171875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	18	864.2537109375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	19	986.274267578125
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	20	1071.58056640625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	21	1111.23193359375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	22	1136.6896484375
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	23	1170.07900390625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	24	1178.176806640625
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	25	1194.03154296875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	26	1205.40498046875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	27	1221.946826171875
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	28	1238.747900390625
